MUKEY,musym,muname,areasymbol,areaname,Corn Yield(bu/Ha),Soybean Yield(bu/Ha),Wheat Yield(bu/Ha),Crop Rotations,Removal Rate,Code,Slope(%),SlopeLength(m),T_factor,K_factor,Sand(%),Silt(%),Clay(%),Organic matter(%),Rainfall_Erosivity,Soil erosion,SCI,Organic Matter factor,Field Operation factor,Soil erosion factor,,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,,CS,0.00,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,5.05,0.456,0.123,0.962,0.11,0,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,,CS,0.20,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,6.53,0.342,-0.0328,0.962,-0.1484,0,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,,CS,0.35,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,8.52,0.232,-0.132,0.961,-0.498,0,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,,CS,0.52,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,11.2,0.0954,-0.237,0.956,-0.961,0,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,,CS,0.83,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,14.9,-0.124,-0.452,0.955,-1.626,1,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,150,CSW,0.00,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,2.22,0.644,0.346,0.959,0.61,0,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,150,CSW,0.20,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,10.1,0.211,-0.0173,0.934,-0.7784,0,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,150,CSW,0.35,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,11.9,0.108,-0.115,0.93,-1.09,1,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,150,CSW,0.52,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,13.9,0.00646,-0.189,0.927,-1.4437,1,,,,,,
170988,AmC2,"Amanda silt loam, 6 to 12 percent slopes, eroded",OH089,"Licking County, Ohio",380,120,150,CSW,0.83,AmC2,9,37,5,0.43,26.7,53.8,19.5,2,120,21.7,-0.368,-0.442,0.926,-2.808,1,,,,,,
170994,BeA,"Bennington silt loam, 0 to 2 percent slopes",OH089,"Licking County, Ohio",380,120,,CS,0.00,BeA,1,53,5,0.37,26.5,53.5,20,3,120,0.749,0.607,0.123,0.962,0.865,0,,,,,,
170994,BeA,"Bennington silt loam, 0 to 2 percent slopes",OH089,"Licking County, Ohio",380,120,,CS,0.20,BeA,1,53,5,0.37,26.5,53.5,20,3,120,0.927,0.539,-0.0328,0.962,0.8366,0,,,,,,
170994,BeA,"Bennington silt loam, 0 to 2 percent slopes",OH089,"Licking County, Ohio",380,120,,CS,0.35,BeA,1,53,5,0.37,26.5,53.5,20,3,120,1.04,0.495,-0.132,0.961,0.817,0,,,,,,
170994,BeA,"Bennington silt loam, 0 to 2 percent slopes",OH089,"Licking County, Ohio",380,120,,CS,0.52,BeA,1,53,5,0.37,26.5,53.5,20,3,120,1.44,0.437,-0.237,0.956,0.747,0,,,,,,
170994,BeA,"Bennington silt loam, 0 to 2 percent slopes",OH089,"Licking County, Ohio",380,120,,CS,0.83,BeA,1,53,5,0.37,26.5,53.5,20,3,120,1.82,0.337,-0.452,0.955,0.679,0,,,,,,
170994,BeA,"Bennington silt loam, 0 to 2 percent slopes",OH089,"Licking County, Ohio",380,120,150,CSW,0.00,BeA,1,53,5,0.37,26.5,53.5,20,3,120,0.434,0.707,0.346,0.959,0.925,0,,,,,,
